round_num	bidder_num	fcc_acct	max_elig	rmng_waivr	waivr_ind	rmng_withdrawals	required_act	current_act
21	11734	0351303585	3676250	5	R	2	2941000.00	1212000.00
21	11697	0351831345	2843750	5	R	2	2275000.00	738000.00
21	11750	0351610407	230000	5		2	184000.00	184000.00
21	11656	0350854319	443000	3	R	2	354400.00	220000.00
21	11753	0351659168	0	0		1	0	0
21	11642	0351503554	89358750.00000002	4		2	71487000.00	52934200.00
21	11724	0351046317	990000	4		2	792000.00	0
21	11664	0351624432	0	0		2	0	0
21	11687	0351613214	0	0		2	0	0
21	11695	0351739495	11500	0		2	9200.00	0
21	11631	0351901103	290000	2		2	232000.00	155000.00
21	11627	0351911355	0	0		2	0	0
21	11665	0351827554	18701250	4	R	2	14961000.00	0
21	11660	0351228435	38000	3	A	2	30400.00	0
21	11754	0351719124	18678750	4		2	14943000.00	8072000.00
21	11644	0351610503	0	0		2	0	0
21	11611	0351323207	131146200	5		2	104916960.00	74523000.00
21	11675	0351216598	98750	5		2	79000.00	79000.00
21	11605	0351231462	36250	2	R	2	29000.00	0
21	11654	0350244315	0	0		2	0	0
21	11616	0351835442	0	0		2	0	0
21	11677	0351239403	0	0		2	0	0
21	11693	0351657054	6400	4		2	5120.00	6400.00
21	11676	0351233486	3097750	5		2	2478200.00	1413200.00
21	11705	0351151366	0	0		2	0	0
21	11640	0351130496	134625	5		2	107700.00	60500.00
21	11658	0351146385	5600	1		2	4480.00	0
21	11700	0351939557	0	0		2	0	0
21	11649	0351654207	0	0		2	0	0
21	11672	0351109237	7000	3	P	2	5600.00	0
21	11682	0351524434	21331250	3		2	17065000.00	15726000.00
21	11730	0351155284	19500	0		2	15600.00	15600.00
21	11643	0351515556	28296250	3	A	2	22637000.00	16351000.00
21	11757	0351748343	458500	4		2	366800.00	179800.00
21	11633	0351459473	500000	5		2	400000.00	178000.00
21	11668	0350924259	0	0		2	0	0
21	11747	0351539412	242500	2	A	2	194000.00	0
21	11744	0351525269	0	0		2	0	0
21	11651	0351844459	15200	1	A	2	12160.00	11000.00
21	11733	0351254487	0	0		2	0	0
21	11614	0351642254	7393000	5		2	5914400.00	2073400.00
21	11729	0351152321	808750	4	R	2	647000.00	49000.00
21	11742	0351522007	27916250	4		2	22333000.00	7393000.00
21	11735	0351305021	40000	5		2	32000.00	0
21	11738	0351403256	113000	0		2	90400.00	80300.00
21	11662	0351351166	2000000	5		2	1600000.00	1687000.00
21	11721	0351006515	0	0		2	0	0
21	11706	0351348133	609750	4	R	2	487800.00	368500.00
21	11710	0350956322	60000	5		2	48000.00	57000.00
21	11736	0351333011	0	0		2	0	0
21	11696	0351826486	0	0		2	0	0
21	11701	0351954037	71250	2		2	57000.00	0
21	11727	0351118112	0	0		2	0	0
21	11698	0351905494	6250	3		2	5000.00	0
21	11686	0351609036	3061250	2	R	2	2449000.00	281000.00
21	11715	0351406273	1155000	4	R	2	924000.00	408200.00
21	11679	0351308047	573750	1		2	459000.00	376400.00
21	11612	0351500166	11625	2		2	9300.00	9300.00
21	11688	0351613418	3625	4		2	2900.00	0
21	11617	0351931259	202500	3		2	162000.00	81000.00
21	11691	0351653248	1000000	5		2	800000.00	380000.00
21	11713	0351117216	72000	5		2	57600.00	72000.00
21	11714	0351135321	0	0		2	0	0
21	11604	0351220523	0	0	R	2	0	0
21	11630	0351311469	0	0	R	2	0	0
21	11620	0351111247	31250	0		2	25000.00	25000.00
21	11712	0351034584	94309375	5	R	2	75447500.00	38620300.00
21	11634	0351538144	0	0		2	0	0
21	11626	0351823412	50000	5		2	40000.00	0
21	11702	0352035362	271375	4		2	217100.00	92000.00
21	11678	0351246276	0	0		2	0	0
21	11629	0351000545	3982500	4	A	2	3186000.00	0
21	11704	0351111354	615000	5		2	492000.00	344800.00
21	11670	0351045363	3936250	5	R	2	3149000.00	2450000.00
21	11659	0351158552	170000	3		2	136000.00	0
21	11749	0351601332	0	0		2	0	0
21	11752	0351653523	3480000	1	R	2	2784000.00	255000.00
21	11716	0351629567	9000	4		2	7200.00	0
21	11718	0350054505	482500	4		2	386000.00	367000.00
21	11751	0351640556	1345000	1	R	2	1076000.00	136000.00
21	11622	0351801195	155000	5		2	124000.00	0
21	11673	0351114585	20287750	4		2	16230200.00	11153000.00
21	11674	0351124029	0	0		2	0	0
21	11646	0351639126	6750	2	A	2	5400.00	0
21	11717	0351931291	0	0		1	0	0
21	11618	0351214197	0	0		2	0	0
21	11725	0351054305	422500	1		2	338000.00	0
